volcano_type,volcano_number,latitude,longitude,elevation,tectonic_settings,major_rock_1
Shield,283001,34.5,131.6,641,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Stratovolcano,355096,-23.292,-67.618,6023,Subduction zone / Continental crust (>25 km),Dacite
Stratovolcano,342080,14.501,-90.876,3976,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Other,213004,38.537,34.621,1683,Intraplate / Continental crust (>25 km),Rhyolite
Stratovolcano,321040,46.206,-121.49,3742,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Stratovolcano,283170,37.647,140.281,1728,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Stratovolcano,221170,10.07,40.84,1733,Rift zone / Intermediate crust (15-25 km),Rhyolite
Stratovolcano,221110,13.088,40.853,1250,Rift zone / Intermediate crust (15-25 km),Rhyolite
Stratovolcano,284160,18.77,145.67,965,Subduction zone / Crustal thickness unknown,Basalt / Picro-Basalt
Stratovolcano,342100,14.465,-90.743,3760,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Stratovolcano,382090,37.77,-25.47,947,Rift zone / Oceanic crust (< 15 km),Trachyte / Trachydacite
Stratovolcano,358062,-50.33,-73.75,2546,Subduction zone / Continental crust (>25 km),Dacite
Stratovolcano,264020,-8.343,115.508,2997,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Other,284141,20.42,145.03,-75,Subduction zone / Crustal thickness unknown,Andesite / Basaltic Andesite
Other,282080,31.593,130.657,1117,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Stratovolcano,300125,53.98,159.45,1180,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Stratovolcano,283130,36.56,139.193,1828,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Other,285070,43.384,144.013,1499,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Stratovolcano,283230,39.761,140.799,1637,Subduction zone / Continental crust (>25 km),Basalt / Picro-Basalt
Stratovolcano,283260,39.964,140.757,1366,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
Stratovolcano,282022,29.465,129.594,555,Subduction zone / Oceanic crust (< 15 km),Andesite / Basaltic Andesite
Stratovolcano,311320,54.134,-165.986,1303,Subduction zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
Stratovolcano,290390,50.861,155.565,2285,Subduction zone / Continental crust (>25 km),Basalt / Picro-Basalt
Shield,221112,12.888,40.573,1496,Rift zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
Shield,353040,-0.43,-91.12,1130,Rift zone / Oceanic crust (< 15 km),Basalt / Picro-Basalt
Stratovolcano,221090,13.512,40.631,988,Rift zone / Intermediate crust (15-25 km),Basalt / Picro-Basalt
Stratovolcano,221040,14.88,39.92,904,Rift zone / Intermediate crust (15-25 km),Rhyolite
Stratovolcano,352031,-0.53,-78,4267,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
